frame_id,timestamp_sec,timestamp,player,shot_type,confidence
0,0.0,00:00.00,player_1,Serve,0.965
0,0.0,00:00.00,player_2,Serve,0.97
0,0.0,00:00.00,player_3,Serve,0.985
0,0.0,00:00.00,player_4,Serve,0.88
31,1.033,00:01.03,player_2,Forehand,0.47
31,1.033,00:01.03,player_3,Smash,0.35
32,1.067,00:01.07,player_2,Smash,0.39
32,1.067,00:01.07,player_3,Serve,0.515
32,1.067,00:01.07,player_4,Forehand,0.465
33,1.1,00:01.10,player_2,Forehand,0.565
34,1.133,00:01.13,player_1,Forehand,0.7
34,1.133,00:01.13,player_3,Smash,0.335
35,1.167,00:01.17,player_2,Serve,0.5
35,1.167,00:01.17,player_3,Forehand,0.835
35,1.167,00:01.17,player_4,Smash,0.34
36,1.2,00:01.20,player_2,Smash,0.35
36,1.2,00:01.20,player_4,Forehand,0.9
38,1.267,00:01.27,player_2,Forehand,0.895
38,1.267,00:01.27,player_3,Smash,0.37
40,1.333,00:01.33,player_3,Forehand,0.775
63,2.1,00:02.10,player_3,Serve,0.525
64,2.133,00:02.13,player_2,Serve,0.415
64,2.133,00:02.13,player_3,Forehand,0.525
65,2.167,00:02.17,player_2,Forehand,0.73
67,2.233,00:02.23,player_2,Other,0.295
68,2.267,00:02.27,player_2,Forehand,0.64
68,2.267,00:02.27,player_3,Other,0.33
69,2.3,00:02.30,player_1,Other,0.365
69,2.3,00:02.30,player_3,Forehand,0.41
71,2.367,00:02.37,player_1,Smash,0.52
71,2.367,00:02.37,player_2,Other,0.495
71,2.367,00:02.37,player_4,Backhand,0.405
72,2.4,00:02.40,player_2,Forehand,0.7
72,2.4,00:02.40,player_3,Backhand,0.375
72,2.4,00:02.40,player_4,Other,0.435
73,2.433,00:02.43,player_1,Forehand,0.815
73,2.433,00:02.43,player_2,Backhand,0.395
73,2.433,00:02.43,player_3,Other,0.425
73,2.433,00:02.43,player_4,Smash,0.605
74,2.467,00:02.47,player_1,Backhand,0.395
74,2.467,00:02.47,player_2,Other,0.425
74,2.467,00:02.47,player_3,Forehand,0.82
75,2.5,00:02.50,player_2,Smash,0.64
75,2.5,00:02.50,player_3,Other,0.395
75,2.5,00:02.50,player_4,Forehand,0.815
76,2.533,00:02.53,player_1,Forehand,0.815
76,2.533,00:02.53,player_4,Smash,0.6
77,2.567,00:02.57,player_3,Smash,0.42
77,2.567,00:02.57,player_4,Other,0.4
79,2.633,00:02.63,player_2,Forehand,0.805
79,2.633,00:02.63,player_4,Smash,0.61
80,2.667,00:02.67,player_1,Smash,0.655
80,2.667,00:02.67,player_2,Smash,0.615
80,2.667,00:02.67,player_3,Forehand,0.805
80,2.667,00:02.67,player_4,Forehand,0.44
81,2.7,00:02.70,player_2,Forehand,0.75
81,2.7,00:02.70,player_4,Smash,0.755
82,2.733,00:02.73,player_2,Smash,0.805
82,2.733,00:02.73,player_4,Forehand,0.735
83,2.767,00:02.77,player_2,Forehand,0.745
83,2.767,00:02.77,player_4,Smash,0.805
84,2.8,00:02.80,player_1,Forehand,0.605
84,2.8,00:02.80,player_2,Smash,0.835
85,2.833,00:02.83,player_1,Smash,0.795
85,2.833,00:02.83,player_4,Forehand,0.53
86,2.867,00:02.87,player_1,Forehand,0.53
86,2.867,00:02.87,player_3,Smash,0.79
87,2.9,00:02.90,player_1,Smash,0.755
87,2.9,00:02.90,player_3,Forehand,0.61
88,2.933,00:02.93,player_1,Forehand,0.585
88,2.933,00:02.93,player_2,Backhand,0.38
88,2.933,00:02.93,player_3,Smash,0.735
88,2.933,00:02.93,player_4,Smash,0.76
89,2.967,00:02.97,player_2,Smash,0.78
89,2.967,00:02.97,player_3,Backhand,0.375
90,3.0,00:03.00,player_1,Smash,0.815
90,3.0,00:03.00,player_2,Forehand,0.65
90,3.0,00:03.00,player_3,Smash,0.71
90,3.0,00:03.00,player_4,Forehand,0.415
91,3.033,00:03.03,player_3,Forehand,0.595
91,3.033,00:03.03,player_4,Smash,0.805
92,3.067,00:03.07,player_1,Forehand,0.405
92,3.067,00:03.07,player_2,Smash,0.805
93,3.1,00:03.10,player_1,Smash,0.685
93,3.1,00:03.10,player_2,Forehand,0.395
93,3.1,00:03.10,player_3,Smash,0.805
